Contributor	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	Total
Smithsonian Libraries		4							2						158	346	14	35	1	18	287	134	20	4	19	54	39	14	19	14	21	22	230	868	398	193	819	356	480	98	377	510	395	346	671	383	720	299	393	351	375	653	333	882	1113	782	19																							17	68	331		7		336	33	111	652	529	167	219	243	660	308	462	583	597	354	582	509	449	339	199	288	178	260	323	983	421	770	891	682	176	536	17	5		4	267	269	380	711	630	499	511	913	687	410	615	566	311	279	128	217	178	140	17	142	398	164	143							75	99	119	402	178			84	367	118		160	91	91	168	148	47	41	13						29	192	242	107	182	38086
MBLWHOI Library																	1458	2074	4677	944			1278	769	958	50	69	383	1862	716	1254	672	401	12	490	553	384	113	581	912	164	439	277	482	125	3	1		519	194	641	239	151	154	93	206	111																							1	4	48				132	85	204	23	60				3		4					38	426	628	280	6			4	62	640	15	187			13									1					1	28	2																																			7	9						1					27321
Harvard University, MCZ, Ernst Mayr Library																						160	161	163	441	749	1108	228	351	560	487	372	352	520	132	351	144	301	34	1	358	518	87	448	581	538	238	277	23	380	118	341	139	34	14	422																										21			8	241		38	337	344	235	1	57		51	331	1	117	342	125	100	430	26	415	280	467	10	427	33	98	503	312	327	122	345		3		11	36	6	165	121	1	287		2	6	575	131				28	216	29	5		206			14							223	1		1	98	1		8	4	1		3	3	15	9	231	138	2							1	6	6	9	2	19879
U.S. Department of Agriculture, National Agricultural Library																																																																																																																																	54	206	142	389	531	570	486	692	475	467	123	483	819	735							53	794	817	471	380	953	1000	629	84	149	39	324	135	460	660	669	750	679	42						627	642	504	647	693	18373
Natural History Museum Library, London																1	78	88		378	1079	302	82	227	119	140	33	61	45	160	72	147	78	201	255	60	50	85	111	31	107	56	105	101	234	178	194	106	361	253	81	75	126	342	401	152																									3	63				64	5	23	52	80	189	100	58	217	80	40	128	114		26				45	91	17	21	92	71	55	250	106	52	6	145									20	157	143	149	227	91	81	138	147	94	66		100	248	59	135	282	7	44							319	27	67	145	46			39	266	21		173	21	24	40	54	87	30	1						31	107	42	20	30	12726
American Museum of Natural History Library																											8	1			49	23	115	114	66	516	297	326	336	452	91	27	151	63	170	270	18	123	198	171	8	1			8																															2		1	13					2		55	5	15	16	26	2			127	5		422	264	268			59	21	1	90	5				15			5	28		30	3		24	3	3	135	10				183		282	42	3									331	54	3					81										1096	1000	1000	1000	1000	1000	232	4	7	1	11	12587
University of California Libraries (archive.org)																																																									118	635	595	696	688	488	493	578	382	607	425	308	577	380	570	467	409	451	510	710	741	604	519	93	40	16	73	10	17				4							1				53			1	3	5	3			9		2	1								64								1	10	18					1					1																																						12377
Mertz Library, The New York Botanical Garden																37						36	179	363	151	439	564	771	490	312	255	316	334		78	56	141	213	53		330		284	31	36	245	62	727	372	283	341	304	321	469	39																											8					4				28	423	63	304	56	5		56	318	6	134				2	267	181	652			1		1								15	27	69		17	2		183	1		52	73	8		2			32			1											76								1		29												10	59	42	19	11859
Missouri Botanical Garden, Peter H. Raven Library	36	421	21	42	48	7	65	123	83	203	223	177	3		468	323	2		8	68			72	49	26	2			1	16	7	50	56	133	84	19	8	35	71	15	58	80	35	43	16	34	44	17	24	60	12	42	127	113	253	178	9										29																		4	35	29	27	94	174	63	38	436	86	19	68	28	48	57	107	83	164	85	135	139	95	101	81	128	157	194	296	168	100	163					19	65	34	85	66	149	90	272	119	17	70	40	34	101	95	53	25	208	98	36	109	30	88							76	26	1	114	149			96	108	31		82	14	63	105	7	6	62							7	22	25	2	1	10441
Gerstein - University of Toronto (archive.org)																																																									2	117	249	128	188	371	414	434	354	172	225	195	106	115	238	203	467	257	197	161	169	184	238	169	25		88	18	1	705	211	618	380	372	4				3	103	218	191	45	38					1	4			1														1						6	3							27	1																																								8417
